group,mape
all_65+yr,9.917610252723678
all_65+yr_male,10.355890403082881
all_65+yr_female,12.056674809569069
YCTKP_65+yr,14.472461340882745
TNKI_65+yr,14.7547016253249
THM_65+yr,15.896202545884533
all_50-64yr_male,16.39065656442894
all_50-64yr,16.66788000925332
TCN_65+yr,17.359080307002266
all,17.637711655625285
all_female,18.111988897229978
all_male,18.761339483157574
YCTKP,20.77707628533407
TCN,21.18997577179597
all_50-64yr_female,21.691884332271044
YCTKP_male,21.771238936761307
TNKI,22.509823786828946
TCN_female,22.5141517383131
all_30-49yr,22.81341133531745
YCTKP_50-64yr,23.219959260388077
TCN_male,23.32600724557276
YCTKP_female,23.44492129467834
TNKI_male,23.66078951050677
TNKI_50-64yr,23.73446367347371
all_30-49yr_male,24.296385220931015
TNKI_female,24.67757989972343
TCN_50-64yr,26.279137166484844
THM,26.298899051805357
HT_65+yr,26.322179457963784
THM_50-64yr,26.713406860964824
THM_female,28.127109406879335
HT,29.118558918430832
THM_male,29.70096063905515
all_30-49yr_female,31.18577092171141
TNKI_30-49yr,32.37928682351273
YCTKP_30-49yr,32.95306495593969
TCN_30-49yr,37.35220591946372
HT_30-49yr,37.78013942830541
THM_30-49yr,37.863938712502126
HT_male,37.869589400771645
HT_female,39.35863098503903
HT_50-64yr,40.23310050358877
