group,mape
all_65+yr,8.984413203
all_65+yr_male,9.701003453
all_65+yr_female,10.58086179
TNKI_65+yr,12.22580687
YCTKP_65+yr,13.02340872
THM_65+yr,14.4776882
all_50-64yr_male,14.70399026
all_50-64yr,15.03728083
TCN_65+yr,15.46087614
all,16.5546296
all_male,16.68722753
all_female,17.42340132
YCTKP,18.90162664
YCTKP_male,19.15428296
TNKI_50-64yr,20.15356213
TCN,20.2292115
all_50-64yr_female,20.41588317
TNKI,20.42196615
THM,20.96139936
YCTKP_50-64yr,20.96142978
TNKI_male,21.05438006
TCN_female,21.49716586
YCTKP_female,21.57108495
TCN_male,21.8943575
THM_male,22.18559539
TNKI_female,22.30358728
all_30-49yr,22.78404012
all_30-49yr_male,23.39842628
THM_50-64yr,23.46433263
THM_female,23.83559181
TCN_50-64yr,24.13733714
HT_65+yr,24.65023169
HT,26.26638049
all_30-49yr_female,30.7654794
TNKI_30-49yr,30.90930894
YCTKP_30-49yr,32.09204479
HT_30-49yr,32.93518382
HT_male,33.1682166
HT_female,34.57853698
THM_30-49yr,35.36447211
HT_50-64yr,36.91785017
TCN_30-49yr,37.81755221
