group,mape
all_65+yr,7.328748899
all_65+yr_male,8.3401221
all_65+yr_female,8.91250757
TNKI_65+yr,10.53875513
YCTKP_65+yr,11.99320349
all,12.57806987
all_50-64yr,12.7350934
all_50-64yr_male,13.08501058
all_male,13.13209595
THM_65+yr,13.18385344
all_female,13.72640438
TCN_65+yr,14.25600487
YCTKP,16.25332523
TNKI,16.38411212
YCTKP_male,16.83722475
TNKI_male,17.20649784
TCN,17.94570476
all_50-64yr_female,17.9492111
TNKI_female,18.34937549
TNKI_50-64yr,18.44396341
THM,18.62327838
TCN_female,19.2121613
all_30-49yr,19.2309968
YCTKP_50-64yr,19.41073501
YCTKP_female,19.42333233
TCN_male,19.67974462
all_30-49yr_male,19.97641857
THM_male,20.39916382
THM_female,21.73222336
THM_50-64yr,21.89232374
TCN_50-64yr,23.34991174
HT_65+yr,24.32036736
HT,25.00215716
all_30-49yr_female,26.34084006
TNKI_30-49yr,26.89063916
YCTKP_30-49yr,30.24650779
HT_male,32.44271852
HT_30-49yr,32.72641046
THM_30-49yr,33.13293797
HT_female,33.71229417
TCN_30-49yr,35.76103106
HT_50-64yr,37.3089328
