group,mape
all_65+yr,10.750562126098853
all_65+yr_male,11.518362748855296
all_65+yr_female,12.272949125927394
TNKI_65+yr,14.100920110932345
YCTKP_65+yr,14.962305723154975
THM_65+yr,16.862207857867066
all_50-64yr_male,16.92178170884483
TCN_65+yr,17.286076645865478
all_50-64yr,17.938014790137647
TCN,20.88047882544984
all,21.75202025012659
YCTKP,21.817013285202528
all_male,21.958300755572704
YCTKP_male,22.2290191372587
YCTKP_50-64yr,22.99723451616709
TCN_female,23.162199626476923
all_female,23.20228076426601
TNKI_50-64yr,23.74136165350618
TNKI,23.87987131970761
all_50-64yr_female,23.93124083373312
TNKI_male,24.88109443793055
TCN_male,25.3084603138835
YCTKP_female,25.926316598733916
TNKI_female,26.93496016315155
THM_50-64yr,27.122135737498276
HT_65+yr,27.292682597408145
all_30-49yr_male,28.004054611959333
HT,28.745728778652218
THM,28.822922662645016
TCN_50-64yr,29.87241223308178
THM_male,30.899830698255563
THM_female,31.826313804284652
all_30-49yr,34.763117727637486
HT_male,35.17607026788079
YCTKP_30-49yr,35.42331282704506
HT_50-64yr,38.551734636407005
TCN_30-49yr,38.74657633111463
HT_female,39.69112021194114
TNKI_30-49yr,40.97980709137893
HT_30-49yr,45.8725084929104
THM_30-49yr,49.962454173480054
all_30-49yr_female,50.64504332932472
