group,mape
all_65+yr,7.566637363
all_65+yr_male,8.554101147
all_65+yr_female,9.277221467
TNKI_65+yr,10.91358507
YCTKP_65+yr,12.40147697
all_50-64yr,13.22615677
THM_65+yr,13.31136604
all_50-64yr_male,13.31401376
all,13.71550154
all_male,14.17238159
TCN_65+yr,14.29293132
all_female,14.71087774
YCTKP,17.04819171
TNKI,17.21870054
YCTKP_male,17.59468526
TNKI_male,18.26018795
all_50-64yr_female,18.39070024
TCN,18.59428602
TNKI_50-64yr,18.91475698
THM,19.31148449
TNKI_female,19.4903825
TCN_female,19.65817825
all_30-49yr,19.82921365
YCTKP_50-64yr,19.86936294
YCTKP_female,19.88962879
TCN_male,20.26673861
all_30-49yr_male,20.49662579
THM_male,21.0787054
THM_female,22.09570507
THM_50-64yr,22.22091402
TCN_50-64yr,23.01396919
HT_65+yr,24.24293374
HT,25.35370541
all_30-49yr_female,27.45605801
TNKI_30-49yr,27.85364199
YCTKP_30-49yr,30.61676421
HT_male,32.95516505
HT_30-49yr,33.57436452
HT_female,33.92449799
THM_30-49yr,34.1384399
TCN_30-49yr,35.9256629
HT_50-64yr,37.04275449
