group,mape
all_65+yr,8.144603898
all_65+yr_male,9.092247261
all_65+yr_female,9.82320129
TNKI_65+yr,11.88462748
YCTKP_65+yr,12.76938401
all_50-64yr,13.80532734
all_50-64yr_male,14.07556831
all,14.39383635
THM_65+yr,14.54032911
all_male,14.80862542
all_female,15.19718745
TCN_65+yr,16.16101832
YCTKP,17.99682544
TNKI,18.3494334
YCTKP_male,18.52412841
TCN,19.42477134
all_50-64yr_female,19.58710413
TNKI_male,19.68791011
TNKI_50-64yr,19.73897558
THM,20.11433026
TNKI_female,20.24962341
all_30-49yr,20.28256512
YCTKP_50-64yr,20.66730108
TCN_male,20.67385555
YCTKP_female,20.82704009
all_30-49yr_male,21.20971847
TCN_female,21.62024361
THM_male,21.93873697
THM_female,23.16848089
THM_50-64yr,23.96949328
TCN_50-64yr,24.89758093
HT_65+yr,25.77531309
HT,26.28323071
all_30-49yr_female,28.1262838
TNKI_30-49yr,28.35773819
YCTKP_30-49yr,31.16540073
HT_male,32.83648801
THM_30-49yr,33.94390078
HT_female,34.91916441
HT_30-49yr,38.05780403
TCN_30-49yr,38.32569977
HT_50-64yr,39.12514589
