group,mape
all_65+yr,8.383250677
all_65+yr_male,9.237783115
all_65+yr_female,10.10325817
TNKI_65+yr,11.85371235
YCTKP_65+yr,12.7430221
all_50-64yr_male,13.78613081
all_50-64yr,13.79089959
THM_65+yr,14.00653496
all,14.64355962
all_male,15.00971628
TCN_65+yr,15.13613253
all_female,15.55710483
YCTKP,17.98178159
YCTKP_male,18.3105779
TNKI,18.70796617
all_50-64yr_female,18.93625084
TNKI_50-64yr,19.34083954
TNKI_male,19.60746826
THM,19.65803649
TCN,19.95836735
all_30-49yr,20.02908771
YCTKP_50-64yr,20.1309431
TNKI_female,20.48674288
TCN_female,20.87994389
YCTKP_female,21.07588316
all_30-49yr_male,21.17059289
TCN_male,21.24320847
THM_male,21.39250297
THM_female,22.68824259
THM_50-64yr,23.15900542
TCN_50-64yr,23.57533431
HT_65+yr,24.67105609
HT,25.94520555
all_30-49yr_female,27.01455309
TNKI_30-49yr,28.01070355
YCTKP_30-49yr,29.94251932
HT_30-49yr,31.04174679
HT_male,32.09802363
THM_30-49yr,32.75019378
HT_female,33.15428431
HT_50-64yr,35.77350233
TCN_30-49yr,36.27823634
