group,mape
all_65+yr,7.551241089
all_65+yr_male,8.741631858
all_65+yr_female,9.600015828
TNKI_65+yr,11.16591713
YCTKP_65+yr,12.45617424
all_50-64yr,12.84197726
all,12.95008995
all_male,13.63076181
all_50-64yr_male,13.7272715
THM_65+yr,13.87183663
all_female,14.04028242
TCN_65+yr,14.6091841
TNKI,16.72550408
YCTKP,17.02291022
TNKI_male,17.9313709
YCTKP_male,18.14336383
TCN,18.73407169
all_50-64yr_female,19.02939349
THM,19.08676626
TNKI_female,19.10048498
TNKI_50-64yr,19.37999498
YCTKP_female,19.93963867
all_30-49yr,19.99456069
TCN_female,20.09046545
YCTKP_50-64yr,20.19054503
TCN_male,20.36542855
all_30-49yr_male,20.79651825
THM_male,21.07398028
THM_female,22.85501773
THM_50-64yr,22.97451579
TCN_50-64yr,24.71592923
HT_65+yr,25.78759576
HT,26.23279955
all_30-49yr_female,27.46362331
TNKI_30-49yr,27.70181629
YCTKP_30-49yr,31.14205899
HT_male,32.96386656
THM_30-49yr,34.57061506
HT_30-49yr,35.64704134
HT_female,35.78903556
TCN_30-49yr,37.19932416
HT_50-64yr,38.48538246
