group,r^2
all_65+yr,0.459112678227929
all_65+yr_female,0.41136237207411497
TNKI_65+yr,0.3557164120192665
all_65+yr_male,0.3450554083403261
all_50-64yr_female,0.28376977692020144
all_50-64yr,0.22421720947088175
YCTKP_65+yr,0.13803155198561434
TNKI_50-64yr,0.13516607811206705
THM_65+yr,0.12944216493262994
all_30-49yr_female,0.10961142506833987
all_50-64yr_male,0.0838694251888954
all_30-49yr,0.054103603857099114
YCTKP_50-64yr,0.04155241611084193
TCN_65+yr,0.03322400561201655
TCN_50-64yr,0.031086827449366083
all_male,0.018044599955026497
all_female,0.015622214089123676
TNKI_female,0.014676268518132862
THM_male,0.008801394981568955
all,0.00477712395527885
THM,0.0018113776592473263
all_30-49yr_male,-0.02344383190406507
TNKI,-0.0240418463148917
TNKI_30-49yr,-0.0491633946301433
TCN_female,-0.05119037133100579
YCTKP_male,-0.0559929052856214
TNKI_male,-0.05995392163803093
THM_female,-0.06080845251148159
YCTKP,-0.0618988023165814
TCN_male,-0.06470480387952482
TCN,-0.06492749965488698
TCN_30-49yr,-0.06914022711169632
YCTKP_female,-0.0769818860209921
HT_65+yr,-0.07863355040773312
HT,-0.08231606765162702
THM_30-49yr,-0.0825139036359872
YCTKP_30-49yr,-0.08328923712249092
THM_50-64yr,-0.09636964665036118
HT_50-64yr,-0.09693613800429657
HT_male,-0.10767570614314126
HT_female,-0.12327224805952786
HT_30-49yr,-0.14168951441277455
