group,r^2
all_65+yr,0.535384278
all_65+yr_female,0.520469634
TNKI_65+yr,0.482060545
all_65+yr_male,0.42059197
all_50-64yr_female,0.406815981
all_50-64yr,0.378286903
TNKI_50-64yr,0.34142272
YCTKP_65+yr,0.337403135
all_50-64yr_male,0.248970135
YCTKP_50-64yr,0.228098051
all_30-49yr_female,0.215997221
THM_65+yr,0.210250628
TCN_65+yr,0.152435316
THM_male,0.146583498
all_male,0.132900559
TNKI_female,0.131428435
TCN_50-64yr,0.121023561
THM,0.11962766
TNKI,0.113744193
all_female,0.111258862
TCN_female,0.109424092
TNKI_30-49yr,0.106403325
all,0.099174814
YCTKP_30-49yr,0.097971569
all_30-49yr,0.097075143
TNKI_male,0.090538189
THM_50-64yr,0.083357336
HT_65+yr,0.080984779
YCTKP_male,0.079536995
YCTKP_female,0.078576946
THM_female,0.075484143
YCTKP,0.065509505
TCN_30-49yr,0.058836912
TCN,0.050137852
TCN_male,0.049300238
all_30-49yr_male,0.041912367
HT_male,0.041680875
HT,0.037870077
HT_50-64yr,0.036704822
THM_30-49yr,0.026399425
HT_30-49yr,0.022973719
HT_female,0.022101308
