group,r^2
TNKI_65+yr,0.4494175385553756
all_65+yr_female,0.41967485232297574
all_65+yr,0.38100977251358215
TNKI_50-64yr,0.29540828377201966
all_50-64yr_female,0.2745907931951157
all_65+yr_male,0.20034129935197542
YCTKP_65+yr,0.18522385463553315
all_50-64yr,0.1682240504527226
TCN_65+yr,0.07499050321158385
YCTKP_50-64yr,0.06941507485397203
all_50-64yr_male,0.03921122611697536
TCN_50-64yr,0.02748136523767708
THM_65+yr,0.011253184643369774
HT_50-64yr,-0.03468942914314743
HT_65+yr,-0.06872977175828132
HT_male,-0.11837921659681205
HT_female,-0.14309042550394002
TNKI,-0.15614720408020233
TNKI_female,-0.15779580047599318
TCN_male,-0.1856516837123734
THM_male,-0.18734094729240525
TNKI_male,-0.1985639517061355
TCN_30-49yr,-0.22049608311427882
THM_50-64yr,-0.22340823584827252
HT,-0.2743307897462055
TCN_female,-0.27636921865015207
TCN,-0.28664122147157856
YCTKP_male,-0.35192780602762186
YCTKP_female,-0.36050884138427297
all_male,-0.3670204484620443
THM,-0.3764968222459495
YCTKP,-0.4063315821475666
YCTKP_30-49yr,-0.4245497701251628
all_30-49yr_male,-0.5029715917972302
THM_female,-0.5432174090060722
all,-0.5644194153961064
all_female,-0.6994455180804344
TNKI_30-49yr,-0.7287699879439713
HT_30-49yr,-0.7926466806596497
THM_30-49yr,-1.3015798137117924
all_30-49yr,-1.6137600592744406
all_30-49yr_female,-2.0969508012451294
