group,r^2
all_65+yr,0.659992796
TNKI_65+yr,0.625640515
all_65+yr_female,0.617089742
all_65+yr_male,0.525859982
all_50-64yr,0.516263318
all_50-64yr_female,0.513163179
TNKI_50-64yr,0.47187626
YCTKP_65+yr,0.4178277
all_50-64yr_male,0.363812927
all_male,0.338867366
all,0.331868047
all_30-49yr_female,0.329376442
YCTKP_50-64yr,0.32190124
all_female,0.313887004
THM_65+yr,0.307924439
TNKI,0.306897535
TNKI_female,0.302339729
THM_male,0.279186973
TNKI_male,0.277228308
THM,0.255447853
all_30-49yr,0.255424629
YCTKP,0.248529469
YCTKP_male,0.248329942
TCN_65+yr,0.241509503
TNKI_30-49yr,0.236037483
TCN_50-64yr,0.229224396
all_30-49yr_male,0.208883158
YCTKP_female,0.199049083
TCN_female,0.1975764
THM_female,0.175223056
YCTKP_30-49yr,0.165019351
TCN_30-49yr,0.143990612
TCN,0.140158928
THM_50-64yr,0.136626924
TCN_male,0.127906185
HT,0.11394123
HT_male,0.108735588
THM_30-49yr,0.104229476
HT_65+yr,0.089123692
HT_30-49yr,0.030433008
HT_female,0.027202865
HT_50-64yr,0.024701268
