group,r^2
all_65+yr,0.586887958
all_65+yr_female,0.57797909
TNKI_65+yr,0.55338847
all_50-64yr_female,0.478856554
all_65+yr_male,0.450454221
all_50-64yr,0.449463385
TNKI_50-64yr,0.427385721
YCTKP_65+yr,0.386244691
all_30-49yr_female,0.316909502
all_50-64yr_male,0.299496785
YCTKP_50-64yr,0.280007193
all_male,0.248462075
THM_65+yr,0.232341201
all,0.227778755
TNKI_female,0.227154878
all_female,0.225560658
all_30-49yr,0.222613801
TNKI,0.212852631
THM_male,0.21145394
TCN_65+yr,0.196234397
THM,0.194087849
TNKI_30-49yr,0.182516983
TNKI_male,0.177137359
YCTKP,0.172400271
YCTKP_male,0.172072115
TCN_50-64yr,0.155936926
all_30-49yr_male,0.155741655
TCN_female,0.154417715
YCTKP_female,0.148775479
YCTKP_30-49yr,0.137885663
TCN_30-49yr,0.132067004
THM_female,0.128479149
TCN,0.10734595
THM_50-64yr,0.103669806
TCN_male,0.076084386
HT_65+yr,0.073962848
HT,0.060442673
THM_30-49yr,0.052518039
HT_male,0.049234689
HT_50-64yr,0.041087806
HT_female,0.018323607
HT_30-49yr,-0.091344462
