group,r^2
all_65+yr,0.550281094
all_65+yr_female,0.494773194
TNKI_65+yr,0.460821596
all_65+yr_male,0.316853078
all_50-64yr,0.312034141
all_50-64yr_female,0.299545729
TNKI_50-64yr,0.282656297
all_50-64yr_male,0.12534473
YCTKP_65+yr,0.117215976
all,0.090628901
all_male,0.080857153
all_female,0.046616788
YCTKP_50-64yr,0.01838994
TCN_65+yr,-0.045105364
all_30-49yr_female,-0.060384567
TCN_50-64yr,-0.061244756
TNKI,-0.07372958
THM_65+yr,-0.088589186
TNKI_female,-0.092914829
TNKI_male,-0.141088024
all_30-49yr,-0.141408156
THM_male,-0.202297995
all_30-49yr_male,-0.211700858
HT_65+yr,-0.238672193
YCTKP,-0.248406074
YCTKP_male,-0.253487352
THM,-0.269725014
TNKI_30-49yr,-0.273528162
HT_male,-0.303581314
TCN_male,-0.32439192
YCTKP_female,-0.335779271
TCN_female,-0.351925814
TCN_30-49yr,-0.363462815
TCN,-0.374183176
HT,-0.387033001
HT_50-64yr,-0.41045065
HT_female,-0.416062856
THM_female,-0.459357194
YCTKP_30-49yr,-0.52456366
THM_50-64yr,-0.569605991
THM_30-49yr,-0.726197628
HT_30-49yr,-0.900086087
