group,r^2
all_65+yr,0.64945079
TNKI_65+yr,0.599743273
all_65+yr_female,0.596847222
all_65+yr_male,0.509339967
all_50-64yr_female,0.507320178
all_50-64yr,0.49679605
TNKI_50-64yr,0.452796631
YCTKP_65+yr,0.391837957
all_male,0.3708711
all,0.346002768
all_50-64yr_male,0.311776656
TNKI,0.293970943
all_30-49yr_female,0.284077162
YCTKP_50-64yr,0.283127285
all_female,0.282244501
TNKI_male,0.26438157
TNKI_female,0.254030562
THM_65+yr,0.2245851
THM,0.215983686
TCN_50-64yr,0.209176458
THM_male,0.205962059
all_30-49yr,0.205083194
TCN_65+yr,0.197560623
YCTKP,0.194229721
YCTKP_male,0.184403089
all_30-49yr_male,0.17151198
TNKI_30-49yr,0.162519186
YCTKP_female,0.156336993
TCN_female,0.142520108
TCN,0.106964853
THM_female,0.105884218
THM_50-64yr,0.050091214
YCTKP_30-49yr,0.035303638
TCN_male,0.033642833
TCN_30-49yr,0.032494753
HT_male,0.019825021
HT,6.53E-05
THM_30-49yr,-0.027444955
HT_65+yr,-0.048824366
HT_female,-0.065465228
HT_30-49yr,-0.081573781
HT_50-64yr,-0.112107538
